Topic,Count,Name,Representation,Representative_Docs
9,206,9_late_payment_company_remark,"['late', 'payment', 'company', 'remark', 'agree', 'positive', 'mark', 'inaccurately', 'time', 'report']","['ask help investigate company inaccurately report late payment account review credit report find error certain account mark late incorrect no late payment remark account', 'seek help investigate account company inaccurately report late payment review credit report notice incorrect late payment mark certain account account not late payment remark', 'request help review account company inaccurately report late payment check credit report find account late payment remark not account reflect no late payment']"
10,202,10_avoid_accordingly_inquire_future,"['avoid', 'accordingly', 'inquire', 'future', 'duty', 'litigation', 'deny', 'update', 'inaccuracy', 'accurate']","['credit report inaccurate inaccuracy cause creditor deny credit duty report accurate information consumer investigate account inquire update account accordingly avoid future litigation', 'credit report inaccurate inaccuracy cause creditor deny credit duty report accurate information consumer investigate account inquire update account accordingly avoid future litigation', 'credit report inaccurate inaccuracy cause creditor deny credit duty report accurate information consumer investigate account inquire update account accordingly avoid future litigation']"
11,187,11_concerned_unjust_show_ask,"['concerned', 'unjust', 'show', 'ask', 'legal', 'delete', 'complaint', 'item', 'file', 'not']","['concerned item show credit report not inaccurate unjust not report credit report ask delete account file legal complaint', 'concerned item show credit report not inaccurate unjust not report credit report ask delete account file legal complaint', 'concerned item show credit report not inaccurate unjust not report credit report ask delete account file legal complaint']"
12,186,12_code_disputed_especially_damaging,"['code', 'disputed', 'especially', 'damaging', 'pursue', 'mandate', 'unjust', 'maximum', 'misleading', 'fdcpa']","['report inaccurate unauthorized account credit report violation fair credit reporting act code require proper reinvestigation disputed item b mandate maximum possible accuracy false entry damaging unjust especially ve never open authorize account fail investigate correct pursue legal action fcra fdcpa code deceptive misleading reporting', 'report inaccurate unauthorized account credit report violation fair credit reporting act code require proper reinvestigation disputed item b mandate maximum possible accuracy false entry damaging unjust especially ve never open authorize account fail investigate correct pursue legal action fcra fdcpa code deceptive misleading reporting', 'report inaccurate unauthorized account credit report violation fair credit reporting act code require proper reinvestigation disputed item b mandate maximum possible accuracy false entry damaging unjust especially ve never open authorize account fail investigate correct pursue legal action fcra fdcpa code deceptive misleading reporting']"
13,180,13_car_vehicle_loan_pay,"['car', 'vehicle', 'loan', 'pay', 'escrow', 'insurance', 'mortgage', 'payment', 'repossession', 'company']","['purchase vehicle xxxx xxxx xxxxxxxx xxxx xxxx xxxx vehicle switch car issue sell knowledge car damage finance xxxx xxxx xxxx xxxx xxxx value trade car ve try say loan illegal gm never allow finance text call prove deceive never type situation', 'company suncoast credit union charge way add loan show loan not pay loan suppose year loan company add force insurance vehicle send proper documentation company insurance charge car xxxx loan pay vehicle year', 'xxxx xxxx vehicle repossess company credit acceptance report late payment call year xxxx tell no long car correct report refuse say car send settlement xxxx clear total reporting owe xxxx']"
14,176,14_understanding_hurt_ability_obtain,"['understanding', 'hurt', 'ability', 'obtain', 'look', 'notice', 'recently', 'verify', 'copy', 'ensure']","['recently look copy credit report notice inaccuracy account account hurt ability obtain credit understanding investigate item ensure accuracy item ask verify accurate xxxx account xxxx xxxx', 'recently look copy credit report notice inaccuracy account account hurt ability obtain credit understanding investigate item ensure accuracy item ask verify accurate xxxx account xxxx xxxx xxxx', 'recently look copy credit report notice inaccuracy account account hurt ability obtain credit understanding investigate account ensure accuracy account ask verify accurate xxxxxxxx xxxx xxxx account xxxx']"
15,174,15_creditor_utterly_devastate_shamefully,"['creditor', 'utterly', 'devastate', 'shamefully', 'shock', 'present', 'relevant', 'detailed', 'type', 'explicit']","['utterly shock devastate discover unauthorized account credit inquiry inaccurate personal information report knowledge consent despite effort seek clarification creditor shamefully fail provide necessary information demand immediate action transparency creditor creditor provide detailed information account inquiry include date purpose type credit product involve furnish relevant application document present evidence explicit authorization inquiry attached file complain', 'utterly shock devastate discover unauthorized account credit inquiry inaccurate personal information report knowledge consent despite effort seek clarification creditor shamefully fail provide necessary information demand immediate action transparency creditor creditor provide detailed information account inquiry include date purpose type credit product involve furnish relevant application document present evidence explicit authorization inquiry attached file complain', 'utterly shock devastate discover unauthorized account credit inquiry inaccurate personal information report knowledge consent despite effort seek clarification creditor shamefully fail provide necessary information demand immediate action transparency creditor creditor provide detailed information account inquiry include date purpose type credit product involve furnish relevant application document present evidence explicit authorization inquiry attached file complain']"
16,170,16_unfair_resolution_cash_app,"['unfair', 'resolution', 'cash', 'app', 'measure', 'unprotected', 'effective', 'inconvenience', 'electronic', 'inadequate']","['file complaint cash app xxxx block inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app fail timely effective measure prevent address fraud platform leave account vulnerable unprotected furthermore dispute resolution process unfair deceptive not comply error resolution requirement electronic fund transfer act efta regulation action cause significant inconvenience financial loss seek appropriate redress violation', 'file complaint cash app xxxx block inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app fail timely effective measure prevent address fraud platform leave account vulnerable unprotected furthermore dispute resolution process unfair deceptive not comply error resolution requirement electronic fund transfer act efta regulation action cause significant inconvenience financial loss seek appropriate redress violation', 'file complaint cash app xxxx block inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app fail timely effective measure prevent address fraud platform leave account vulnerable unprotected furthermore dispute resolution process unfair deceptive not comply error resolution requirement electronic fund transfer act efta regulation action cause significant inconvenience financial loss seek appropriate redress violation']"
17,170,17_accuse_combine_thing_look,"['accuse', 'combine', 'thing', 'look', 'unjust', 'show', 'incorrect', 'concern', 'legal', 'never']","['combine credit report show incorrect account not not unjust but concern never thing accuse look account legal action', 'combine credit report show incorrect account not not unjust but concern never thing accuse look account legal action', 'combine credit report show incorrect account not not unjust but concern never thing accuse look account legal action']"
18,161,18_balance_transunion_charge_reporting,"['balance', 'transunion', 'charge', 'reporting', 'date', 'inaccurate', 'status', 'fcra', 'xx', 'account']","['file formal complaint inaccurate misleading reporting xxxx xxxx xxxx account open xx xx xxxx account settle xx xx xxxx balance continue report charge derogatory remark write balance clear violation fair credit reporting act fcra section require furnisher report accurate complete information continue report account charge settle xxxx xxxx misrepresent legal status debt create false impression owe closed account cause ongoing damage credit profile financial reputation previously dispute credit bureau account remain inaccurately list not negligent but willful misreporte xxxx xxxx obligate update reporting reflect truth account closed pay settle carry balance request immediate investigation enforcement action address unlawful reporting', 'time dispute account show credit report file previous dispute but credit bureaus not provide proof verification account accurate belong fair credit reporting act fcra credit bureaus require conduct reasonable investigation verify information furnisher not following account incorrect unverified xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx account conflicting inconsistent information xxxx credit bureau include different balance date activity account status show information report not accurate consistent violate fcra b requirement ensure maximum possible accuracy', 'write formally dispute inaccuracy incomplete information report credit report error negatively impact creditworthiness request thorough investigation accordance fair credit reporting act fcra item not properly verify respectfully request remove credit report charge account xxxx account number xxxx date open xx xx xxxx balance discrepancy report balance charge status inaccurate xxxx xxxx account number xxxx date open xx xx xxxx balance discrepancy account incorrectly mark charge balance inconsistent record xxxx xxxx account number xxxx date open xx xx xxxx balance discrepancy account report inaccurately charge account xxxx account number xxxx date open xx xx xxxx balance discrepancy incorrect charge status report balance']"
